Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,245883,Antioch University-Seattle,1,Main Campus,816,0,0,0
2001,235547,Bastyr University,1,Main Campus,1117,0,0,0
2001,235671,Bates Technical College,1,Downtown Campus,6085,0,0,0
2001,235671,Bates Technical College,2,South Campus,6085,0,0,0
2001,235671,Bates Technical College,3,Central Campus,6085,0,0,0
2001,234669,Bellevue College,1,Main Campus,11792,0,0,0
2001,234696,Bellingham Technical College,1,Main Campus,3709,0,0,0
2001,234711,Big Bend Community College,1,Main Campus,1912,0,0,0
2001,236018,BJ's Beauty & Barber College,1,BJ's Beauty & Barber College,65,0,0,0
2001,439118,Carrington College-Spokane,1,Carrington College-Spokane,,0,0,0
2001,439190,Cascadia College,1,Main Campus,1987,0,0,0
2001,234827,Central Washington University,1,Central Washington University,8826,0,0,0
2001,234827,Central Washington University,2,CWU-Yakima,8826,0,0,0
2001,234827,Central Washington University,3,CWU-Pierce,8826,0,0,0
2001,234845,Centralia College,1,Centralia College,3045,0,6,0
2001,234845,Centralia College,2,Centralia College - East Campus,3045,0,0,0
2001,102845,Charter College,1,Charter College-Anchorage,395,0,0,0
2001,234915,City University of Seattle,2,Everett,7593,0,0,0
2001,234915,City University of Seattle,4,Renton,7593,0,0,0
2001,234915,City University of Seattle,6,Tacoma,7593,0,0,0
2001,234915,City University of Seattle,8,Vancouver,7593,0,0,0
2001,234933,Clark College,1,Main Campus,9274,0,0,0
2001,234951,Clover Park Technical College,1,Lakewood Campus,7429,0,0,0
2001,234979,Columbia Basin College,1,Columbia Basin College,6043,0,0,0
2001,177065,Columbia College,26,Columbia College @ Marysville,8564,0,0,0
2001,177065,Columbia College,29,Columbia College @ NAS Whidbey Island,8564,0,0,0
2001,235024,Cornish College of the Arts,1,Cornish College of the Arts,650,0,0,0
2001,235088,Divers Institute of Technology,1,DIVERS INSTITUTE OF TECHNOLOGY,121,0,0,0
2001,235097,Eastern Washington University,1,EWU Main Campus,8932,0,0,0
2001,235103,Edmonds College,1,Main Campus,7738,1,1,0
2001,235149,Everett Community College,1,Everett Community College,5741,0,0,0
2001,443049,Faith International University,1,Main Campus,,0,0,0
2001,235307,Glen Dow Academy of Hair Design,1,Main Campus,46,0,0,0
2001,235316,Gonzaga University,1,Main Campus,4874,0,0,0
2001,235334,Grays Harbor College,1,Main Campus,2175,0,0,0
2001,235343,Green River College,1,Main Campus,6206,0,0,0
2001,235422,Heritage University,1,Heritage University Main Campus,1224,0,0,0
2001,235583,Highlights Beauty Schools,1,Main Campus,168,0,0,0
2001,407708,Highlights Beauty Schools,1,Branch Campus,165,0,0,0
2001,235431,Highline College,1,Highline College,6372,0,0,0
2001,235501,International Air and Hospitality Academy,1,Main Campus,291,0,0,0
2001,235699,Lake Washington Institute of Technology,1,Kirkland Campus,3646,0,0,0
2001,235750,Lower Columbia College,1,Lower Columbia College,3379,0,0,0
2001,236072,North Seattle College,1,Main Campus,5628,0,0,0
2001,377546,Northwest College of Art & Design,1,Main,91,0,0,0
2001,434362,Northwest HVAC/R Training Center,1,Northwest HVAC/R Association & Training Center,63,0,0,0
2001,380377,Northwest Indian College,1,Lummi Campus,600,0,0,0
2001,236133,Northwest University,1,Northwest University,1066,0,0,0
