Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Total unfounded crimes
2014,482185,Academy of Interactive Entertainment,1,Seattle Campus,77,0
2014,245883,Antioch University-Seattle,1,Main Campus,809,0
2014,235547,Bastyr University,1,Main Campus,1202,0
2014,235671,Bates Technical College,1,Downtown Campus,2907,0
2014,235671,Bates Technical College,2,South Campus,2907,0
2014,235671,Bates Technical College,3,Central Campus,2907,0
2014,234669,Bellevue College,1,Main Campus,13469,0
2014,234669,Bellevue College,2,North Campus,13469,0
2014,234696,Bellingham Technical College,1,Main Campus,2301,0
2014,234711,Big Bend Community College,1,Main Campus,2016,0
2014,236018,BJ's Beauty & Barber College,1,BJ's Beauty & Barber College,98,0
2014,262086,Brandman University,3,Brandman University - Bangor Campus,7795,0
2014,262086,Brandman University,7,Brandman University - Lacey Campus,7795,0
2014,262086,Brandman University,9,Brandman University - Ft. Lewis Campus,7795,0
2014,262086,Brandman University,10,Brandman University - McChord Field,7795,0
2014,262086,Brandman University,25,Brandman University - Whidbey Island Campus,7795,0
2014,439118,Carrington College-Spokane,1,Carrington College-Spokane,511,0
2014,439190,Cascadia College,1,Main Campus,2759,0
2014,234827,Central Washington University,1,Central Washington University,11799,0
2014,234827,Central Washington University,2,CWU-Yakima,11799,0
2014,234827,Central Washington University,3,CWU-Pierce,11799,0
2014,234827,Central Washington University,4,CWU-Lynnwood,11799,0
2014,234827,Central Washington University,7,CWU-Des Moines,11799,0
2014,234827,Central Washington University,8,CWU-Moses Lake,11799,0
2014,234827,Central Washington University,9,CWU-Wenatchee,11799,0
2014,234845,Centralia College,1,Centralia College,3317,0
2014,234845,Centralia College,2,Centralia College - East Campus,3317,0
2014,102845,Charter College,1,Charter College-Anchorage,3267,0
2014,102845,Charter College,2,Charter College - Wasilla,3267,0
2014,102845,Charter College,3,Charter College-Pasco,3267,0
2014,102845,Charter College,4,Charter College - Oxnard,3267,0
2014,102845,Charter College,6,Charter College-Vancouver,3267,0
2014,234915,City University of Seattle,2,Everett,2545,0
2014,234915,City University of Seattle,4,Renton,2545,0
2014,234915,City University of Seattle,6,Tacoma,2545,0
2014,234915,City University of Seattle,8,Vancouver,2545,0
2014,234915,City University of Seattle,10,Vancouver- B.C.,2545,0
2014,234915,City University of Seattle,11,Victoria- B.C.,2545,0
2014,234915,City University of Seattle,12,Calgary- AB,2545,0
2014,234915,City University of Seattle,13,Edmonton- AB,2545,0
2014,234915,City University of Seattle,17,Seattle - Main,2545,0
2014,234933,Clark College,1,Main Campus,10911,0
2014,234933,Clark College,2,Columbia Tech Center,10911,0
2014,234951,Clover Park Technical College,1,Lakewood Campus,3682,1
2014,234979,Columbia Basin College,1,Columbia Basin College,6385,0
2014,177065,Columbia College,26,Columbia College @ Marysville,16567,0
2014,177065,Columbia College,29,Columbia College @ NAS Whidbey Island,16567,0
2014,235024,Cornish College of the Arts,1,Cornish College of the Arts,767,0
2014,443410,DigiPen Institute of Technology,1,DigiPen,1018,0
2014,235088,Divers Institute of Technology,1,DIVERS INSTITUTE OF TECHNOLOGY,232,0
2014,235097,Eastern Washington University,1,EWU Main Campus,13453,1
2014,235103,Edmonds College,1,Main Campus,8993,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,30,Everett,14176,0
